NPA,2023,2023 Raw
2,"38.1%","156"
3,"23.1%","267"
4,"59.5%","196"
5,"41%","69"
6,"34.8%","140"
7,"56.2%","308"
8,"65.9%","393"
9,"33.3%","31"
10,"28.3%","156"
11,"38.9%","198"
12,"51%","81"
13,"30.1%","137"
14,"43.3%","188"
15,"78.6%","543"
16,"39.9%","289"
17,"33.3%","151"
18,"43.4%","267"
19,"73.2%","614"
20,"51.1%","205"
21,"18.8%","172"
22,"9.6%","30"
23,"73.3%","206"
24,"23.6%","43"
25,"66.4%","434"
26,"72.3%","819"
27,"39%","125"
28,"32.6%","63"
29,"73.6%","300"
30,"22.7%","108"
31,"73.5%","283"
32,"20%","17"
33,"29.8%","77"
34,"49.1%","456"
35,"57.4%","1,307"
36,"75.9%","451"
37,"27.3%","66"
38,"31.2%","584"
39,"57.1%","382"
40,"40.8%","142"
41,"71.4%","223"
42,"67.9%","239"
43,"77.2%","276"
44,"63%","140"
45,"39.4%","380"
46,"23.5%","66"
47,"47.8%","67"
48,"64.6%","1,226"
49,"47.6%","573"
50,"42.8%","115"
51,"16.3%","46"
52,"25.3%","127"
53,"53.5%","234"
54,"65.6%","547"
55,"60.7%","335"
56,"54.8%","161"
57,"18.3%","31"
58,"41.9%","92"
59,"38.2%","132"
60,"38.8%","309"
61,"23.5%","71"
62,"23.5%","68"
64,"32.1%","126"
65,"47%","169"
66,"15.1%","56"
67,"23.9%","24"
68,"36.7%","464"
69,"40%","152"
70,"18.6%","55"
71,"62.3%","221"
72,"38.9%","457"
73,"58%","2,365"
74,"41.3%","83"
75,"47.2%","159"
76,"66.2%","860"
77,"54.9%","561"
78,"45.2%","287"
79,"52.9%","39"
80,"49.2%","338"
81,"55.6%","106"
82,"45.7%","171"
83,"83%","1,991"
84,"76.1%","1,890"
85,"32%","88"
86,"23.3%","23"
87,"36.5%","72"
88,"30.8%","132"
89,"48%","114"
90,"43.3%","108"
91,"46.4%","131"
92,"24.4%","66"
93,"51.3%","301"
94,"44.3%","291"
95,"42.5%","188"
96,"46.5%","335"
97,"59%","324"
98,"55.2%","884"
99,"50.9%","202"
100,"35.5%","255"
101,"26%","33"
102,"30.3%","60"
103,"28.8%","39"
105,"51.8%","115"
106,"18.1%","27"
107,"55.1%","88"
108,"75.4%","431"
109,"64.7%","806"
110,"55.6%","775"
111,"48.4%","364"
112,"63%","1,031"
113,"36.9%","493"
114,"46.6%","307"
115,"48.3%","350"
116,"34.7%","1,271"
117,"45.3%","450"
118,"75.7%","242"
119,"50.5%","514"
120,"26.5%","102"
121,"40.1%","215"
122,"6.9%","263"
123,"35.1%","426"
124,"28.2%","199"
125,"36.8%","375"
126,"12.9%","18"
127,"32%","144"
128,"43.8%","118"
129,"79.5%","386"
130,"92.7%","3,359"
131,"53.3%","144"
132,"52.3%","99"
133,"51.9%","82"
134,"47.8%","55"
135,"26.9%","38"
136,"52.8%","364"
137,"39.9%","280"
138,"28.5%","145"
139,"53.6%","343"
140,"50.1%","524"
141,"27.5%","187"
142,"42.8%","189"
143,"65.9%","193"
144,"39.5%","97"
145,"52%","270"
146,"44.7%","195"
147,"46.1%","210"
148,"69.8%","417"
149,"43.5%","120"
150,"57.1%","319"
151,"43.3%","232"
152,"55.8%","332"
153,"41.5%","338"
154,"49.2%","359"
155,"35.9%","448"
156,"46.8%","523"
157,"7.6%","43"
158,"32.6%","401"
159,"47.4%","232"
160,"31.3%","243"
161,"67.1%","197"
162,"42.7%","157"
163,"20.3%","35"
164,"38.9%","250"
165,"38.2%","69"
166,"37.7%","57"
167,"38%","70"
168,"36.3%","83"
169,"52.4%","127"
170,"57%","271"
171,"38.3%","110"
172,"45.5%","429"
173,"39.4%","149"
174,"57.7%","1,834"
175,"82.6%","431"
176,"54%","253"
177,"74.5%","378"
178,"42.1%","853"
179,"46.2%","232"
180,"40.1%","120"
181,"62.5%","637"
182,"18.2%","40"
183,"51.6%","115"
184,"43.4%","102"
185,"40.7%","53"
186,"58.8%","374"
187,"47.1%","74"
188,"46.6%","169"
189,"44.5%","39"
190,"26.7%","178"
191,"53.6%","226"
192,"37.7%","525"
193,"38.7%","118"
194,"68.2%","502"
195,"59%","641"
196,"49.9%","482"
197,"39.5%","125"
198,"77.7%","248"
199,"26.1%","100"
200,"11.3%","10"
201,"58.8%","484"
202,"36.1%","92"
203,"77.1%","402"
204,"34.9%","88"
205,"70%","247"
206,"55%","75"
207,"24.4%","123"
208,"38.8%","199"
209,"41.5%","347"
210,"43%","75"
211,"53%","292"
212,"37.2%","199"
213,"47.4%","153"
215,"74.7%","225"
216,"65.5%","135"
217,"79.8%","333"
218,"58.7%","302"
219,"36%","403"
220,"53.1%","228"
221,"45%","188"
222,"72.9%","227"
223,"47%","137"
224,"65.3%","252"
225,"66%","873"
226,"40%","46"
227,"57.6%","341"
228,"33.3%","276"
229,"49.4%","665"
230,"60.5%","122"
231,"35.7%","446"
232,"32.2%","191"
233,"46.5%","308"
234,"44%","570"
235,"45.6%","224"
236,"50%","359"
237,"49.8%","477"
238,"43.9%","241"
240,"31.5%","124"
241,"69.1%","393"
242,"45.9%","128"
243,"42.7%","232"
244,"59.4%","412"
245,"44.4%","78"
246,"41.1%","117"
247,"38.6%","50"
248,"59.5%","96"
249,"22.6%","29"
250,"45.1%","114"
251,"42.3%","127"
252,"63.4%","156"
253,"43.8%","282"
254,"43.9%","624"
255,"55.7%","264"
256,"71.4%","2,928"
257,"57.8%","688"
258,"52.8%","436"
259,"50.4%","207"
260,"33.6%","473"
261,"72.8%","395"
262,"60.6%","614"
263,"56.7%","358"
264,"53.8%","172"
265,"51.6%","143"
266,"63.5%","1,189"
267,"63.5%","1,264"
268,"47.3%","122"
269,"61.8%","283"
270,"38.7%","35"
271,"41.3%","70"
272,"54.3%","286"
273,"27.8%","170"
274,"33.6%","41"
275,"53.4%","212"
276,"42%","172"
277,"35.9%","311"
278,"38.1%","67"
279,"34.4%","39"
280,"30.6%","280"
281,"20.3%","39"
282,"57.5%","201"
283,"53.7%","234"
284,"66.7%","639"
285,"24%","657"
286,"43.3%","710"
287,"42.1%","648"
288,"73.1%","420"
289,"51.7%","646"
290,"12.6%","106"
291,"29.6%","43"
292,"28.9%","88"
293,"39.8%","44"
294,"44%","164"
295,"22.3%","24"
296,"37.4%","277"
297,"74.1%","77"
298,"24.4%","62"
299,"35.3%","170"
300,"31.8%","149"
301,"37.3%","198"
302,"65.6%","244"
303,"49.4%","98"
304,"13%","9"
305,"47.4%","142"
306,"38.3%","260"
307,"58.7%","303"
308,"55.8%","133"
309,"73.6%","532"
310,"56.2%","228"
311,"29.6%","115"
312,"36.4%","75"
313,"44.2%","286"
314,"37.2%","119"
315,"26.1%","63"
316,"30.9%","133"
317,"40.7%","69"
318,"75.2%","289"
319,"52.2%","374"
320,"32.3%","85"
321,"34.9%","76"
322,"41.7%","83"
323,"39.2%","221"
324,"68.1%","931"
325,"58.3%","349"
326,"40.9%","62"
327,"33.8%","78"
328,"32.7%","238"
329,"40.2%","189"
330,"46%","295"
331,"33%","429"
332,"45.3%","270"
333,"47.8%","296"
334,"30.7%","121"
335,"52.4%","449"
336,"46.2%","697"
337,"58.9%","418"
338,"2%","3"
339,"4.4%","11"
343,"28.1%","73"
344,"29%","76"
345,"48.1%","315"
346,"36.4%","265"
347,"11.9%","17"
348,"49%","780"
349,"67.7%","201"
350,"63.1%","197"
351,"63.5%","128"
352,"55.6%","141"
353,"66.8%","458"
354,"56.7%","145"
355,"50%","319"
356,"50.6%","491"
357,"31%","107"
358,"40.3%","332"
359,"65.5%","272"
360,"56%","793"
361,"23.4%","116"
362,"42.1%","342"
363,"24.9%","338"
364,"37.1%","179"
365,"28.2%","76"
366,"21.8%","76"
367,"20.7%","151"
368,"46.4%","512"
369,"17.1%","56"
370,"35.7%","169"
371,"20.8%","290"
372,"39.9%","778"
373,"64.6%","552"
374,"41%","171"
375,"61.4%","608"
376,"51.2%","590"
377,"40.5%","439"
378,"36.3%","332"
379,"57%","614"
380,"82.2%","1,547"
381,"19.2%","95"
382,"21.6%","94"
383,"54.8%","338"
385,"39.5%","313"
386,"29.2%","81"
387,"29.5%","525"
388,"23.3%","93"
389,"41%","451"
390,"21.4%","57"
391,"67.4%","378"
392,"38.3%","562"
393,"34.5%","345"
394,"33.7%","132"
395,"49.8%","314"
396,"59.9%","2,706"
397,"21.9%","33"
398,"52%","145"
399,"47.3%","309"
400,"73.9%","490"
401,"62.4%","562"
402,"67.2%","664"
403,"62.3%","1,116"
404,"50.8%","208"
405,"46.3%","274"
406,"66.9%","923"
407,"63%","942"
408,"62.3%","692"
409,"50.3%","461"
410,"32%","79"
411,"45.8%","239"
412,"52.6%","1,061"
413,"42.9%","508"
416,"31.3%","66"
417,"42%","287"
418,"45.1%","383"
419,"63.2%","356"
420,"41.7%","541"
421,"36.2%","262"
422,"46.6%","1,470"
423,"52.6%","1,532"
424,"42.4%","460"
425,"59.5%","949"
426,"60.7%","303"
428,"61.3%","856"
430,"59.1%","383"
431,"61.8%","446"
432,"77.9%","1,031"
433,"65.1%","155"
434,"56.6%","2,124"
435,"64.2%","308"
436,"55.6%","223"
437,"53.7%","1,896"
438,"55.7%","1,203"
442,"48.1%","222"
443,"54.6%","150"
444,"69.9%","265"
445,"66.8%","448"
446,"69.1%","482"
447,"49.4%","601"
448,"34.4%","287"
449,"43.4%","442"
450,"74.2%","5,737"
451,"57%","1,735"
452,"44.8%","531"
453,"62.6%","456"
454,"55%","1,238"
455,"68.8%","1,081"
456,"50.9%","138"
457,"72.9%","204"
458,"53%","136"
459,"75.3%","754"
460,"57.9%","623"
462,"62.4%","2,155"
463,"56.9%","302"
464,"54.3%","462"
465,"67%","206"
466,"71.8%","2,058"
467,"39.1%","204"
468,"62.5%","579"
469,"75.5%","2,131"
470,"44.6%","208"
471,"46.1%","259"
472,"48.1%","180"
473,"46.7%","231"
474,"45.8%","220"
475,"64%","605"
476,"10.4%","143"
